SECCIÓN,CASILLA,DISTRITO,NO. MPO,MUNICIPIO,ACTA,PAN,PRI,PRD,PT,PVEM,PCP,PMC,MORENA,PNA SAN LUIS,PES,RSP,FXM,CI,"PAN,PRI,PRD,PCP","PAN,PRI,PRD","PAN,PRI,PCP","PAN,PRD,PCP","PRI,PRD,PCP","PAN,PRI","PAN,PRD","PAN,PCP","PRI,PRD","PRI,PCP","PRD,PCP","PT,PVEM",CNR,VTN,TOTAL,OBSERVACIONES
1039,C1,7.0,28.0,SAN LUIS POTOSÍ,11039C012807,286,66,6,3,23,5,11,24,5,0,1,3,3,6,10,0,0,0,2,0,0,0,0,0,5,1,5,465,
1039,C2,7.0,28.0,SAN LUIS POTOSÍ,11039C022807,305,71,4,9,15,2,5,26,0,4,1,1,3,9,8,0,0,0,4,0,0,0,0,0,1,2,5,475,
1039,C3,7.0,28.0,SAN LUIS POTOSÍ,11039C032807,317,53,3,4,15,3,8,34,1,0,3,2,6,11,10,0,0,0,5,0,0,0,0,0,1,1,2,479,
1039,C4,7.0,28.0,SAN LUIS POTOSÍ,11039C042807,362,38,5,3,21,4,10,27,1,1,3,2,2,6,10,0,1,0,5,0,0,0,0,0,4,0,5,510,
1039,C5,7.0,28.0,SAN LUIS POTOSÍ,11039C052807,313,61,3,0,28,6,8,26,1,0,4,8,2,9,7,1,1,0,6,1,0,1,0,0,0,0,3,489,
1039,C6,7.0,28.0,SAN LUIS POTOSÍ,11039C062807,312,69,13,2,29,9,15,29,2,0,2,2,2,6,6,1,0,0,4,0,0,0,0,0,3,2,7,515,
1039,E1,7.0,28.0,SAN LUIS POTOSÍ,11039E012807,348,42,3,5,21,5,10,19,1,0,3,1,2,6,7,0,1,0,0,1,0,0,0,0,5,0,4,484,
1039,S1,7.0,28.0,SAN LUIS POTOSÍ,11039S012807,91,49,2,5,51,0,5,16,1,4,13,1,1,2,6,0,0,0,1,0,0,0,0,0,8,2,3,261,
1039,S2,7.0,28.0,SAN LUIS POTOSÍ,11039S022807,106,33,1,1,45,2,11,25,3,2,16,1,0,3,7,0,2,0,2,0,0,0,0,0,9,3,2,274,
1039,X1,7.0,28.0,SAN LUIS POTOSÍ,11039X012807,354,68,6,2,19,6,11,24,1,0,0,2,4,8,7,0,0,0,2,0,0,0,0,0,0,0,1,515,
1039,X2,7.0,28.0,SAN LUIS POTOSÍ,11039X022807,333,67,5,5,18,2,10,21,0,0,5,2,2,7,7,0,0,0,2,1,1,0,0,0,2,0,2,492,
1039,X3,7.0,28.0,SAN LUIS POTOSÍ,11039X032807,345,66,1,2,15,0,3,19,2,1,2,2,3,11,7,0,0,0,3,0,0,0,0,0,1,3,3,489,
1039,X4,7.0,28.0,SAN LUIS POTOSÍ,11039X042807,342,68,5,3,17,1,8,13,0,2,2,4,2,13,7,0,0,0,1,0,0,0,0,0,2,1,5,496,
1039,X5,7.0,28.0,SAN LUIS POTOSÍ,11039X052807,344,59,5,6,10,0,16,21,0,0,2,1,2,11,10,0,0,0,2,0,0,0,0,0,1,0,3,493,
1039,X6,7.0,28.0,SAN LUIS POTOSÍ,11039X062807,366,48,8,1,16,1,2,16,2,0,4,3,2,6,8,0,0,0,5,0,0,0,0,0,0,0,5,493,
1039,X7,7.0,28.0,SAN LUIS POTOSÍ,11039X072807,351,68,4,4,12,4,8,16,4,1,3,3,0,19,12,0,0,0,3,0,0,0,0,0,2,1,2,517,
1040,B1,7.0,28.0,SAN LUIS POTOSÍ,11040B012807,194,60,2,4,33,2,9,33,1,2,4,4,5,11,8,2,0,0,5,1,0,0,1,0,0,2,4,387,
1040,C1,7.0,28.0,SAN LUIS POTOSÍ,11040C012807,192,43,4,6,27,0,9,44,3,3,4,1,1,11,13,0,0,0,3,2,0,0,0,0,4,0,8,378,
1040,C2,7.0,28.0,SAN LUIS POTOSÍ,11040C022807,192,57,6,3,22,1,6,43,1,0,4,0,4,11,6,0,2,0,1,0,0,1,0,0,6,0,2,368,
1041,B1,7.0,28.0,SAN LUIS POTOSÍ,11041B012807,198,79,1,7,40,3,13,37,5,0,2,2,1,9,10,1,0,0,7,2,0,0,0,0,2,0,11,430,
1041,C1,7.0,28.0,SAN LUIS POTOSÍ,11041C012807,203,64,9,6,9,1,20,44,2,1,4,1,7,19,0,0,0,0,0,0,0,0,0,0,3,0,1,394,
1042,B1,7.0,28.0,SAN LUIS POTOSÍ,11042B012807,153,60,5,12,60,4,15,50,1,1,5,2,9,6,9,1,0,0,3,0,0,0,0,0,9,2,6,413,
1042,C1,7.0,28.0,SAN LUIS POTOSÍ,11042C012807,184,54,3,8,52,2,18,51,5,1,4,3,5,6,3,0,0,0,4,0,0,1,0,0,9,0,8,421,
1042,C2,7.0,28.0,SAN LUIS POTOSÍ,11042C022807,192,53,5,11,68,4,20,37,6,1,3,5,8,7,6,1,0,1,1,0,0,0,0,0,0,0,13,442,
1106,B1,7.0,28.0,SAN LUIS POTOSÍ,11106B012807,88,12,6,12,99,3,7,41,1,1,1,0,2,6,2,6,0,1,4,0,0,0,0,0,1,4,9,306,
1106,C1,7.0,28.0,SAN LUIS POTOSÍ,11106C012807,103,7,4,11,12,0,12,49,1,4,3,5,3,4,2,0,0,0,4,0,0,0,0,0,13,0,0,237,
